time,speed_ms,dir_from_deg,u,v
2019-05-12 18:18:00,3.8,46.0,-2.7334912412868744,-2.6397018077441894
2019-05-12 18:24:00,4.3,46.0,-3.0931611414562,-2.987030992973688
2019-05-12 18:30:00,3.7,49.0,-2.7924254468242564,-2.4274184072648772
2019-05-12 18:36:00,3.8,51.0,-2.953154653536488,-2.3914174859893835
2019-05-12 18:42:00,3.7,53.0,-2.9549513871749835,-2.226715585662579
2019-05-12 18:48:00,3.8,43.0,-2.5915937682374937,-2.779144066152848
2019-05-12 18:54:00,3.7,54.0,-2.9933628791873055,-2.174805433482151
2019-05-12 19:00:00,3.5,52.0,-2.7580376376235276,-2.154815163639803
2019-05-12 19:06:00,3.6,63.0,-3.207623487078124,-1.634365799062369
2019-05-12 19:12:00,3.1,57.0,-2.599878760630815,-1.6883810085465836
2019-05-12 19:18:00,3.1,62.0,-2.7371375378626737,-1.4553618446362613
2019-05-12 19:24:00,3.3,45.0,-2.3334523779156067,-2.333452377915607
2019-05-12 19:30:00,3.8,46.0,-2.7334912412868744,-2.6397018077441894
2019-05-12 19:36:00,3.9,52.0,-3.0732419390662162,-2.4010797537700665
2019-05-12 19:42:00,4.0,48.0,-2.9725793019095774,-2.6765224254354325
2019-05-12 19:48:00,4.6,48.0,-3.4184661971960137,-3.0780007892507473
2019-05-12 19:54:00,4.8,47.0,-3.510497767772018,-3.273592128299993
2019-05-12 20:00:00,4.4,52.0,-3.4672473158695776,-2.7089104914328956
2019-05-12 20:06:00,4.7,46.0,-3.3808970615916607,-3.2648943411572873
2019-05-12 20:12:00,4.5,51.0,-3.4971568265563677,-2.83194175972427
2019-05-12 20:18:00,4.7,56.0,-3.896476591008697,-2.628206646312509
2019-05-12 20:24:00,4.4,57.0,-3.690150498959867,-2.396411754066119
2019-05-12 20:30:00,4.0,50.0,-3.0641777724759116,-2.571150438746158
2019-05-12 20:36:00,4.1,53.0,-3.2744055911939003,-2.4674415949233977
2019-05-12 20:42:00,5.1,47.0,-3.729903878257769,-3.4781916363187424
2019-05-12 20:48:00,5.0,49.0,-3.77354790111386,-3.2802951449525364
2019-05-12 20:54:00,5.0,53.0,-3.993177550236464,-3.0090751157602416
2019-05-12 21:00:00,5.3,55.0,-4.341505834731655,-3.0399551126605457
2019-05-12 21:06:00,5.1,44.0,-3.5427576893408856,-3.66863298172712
2019-05-12 21:12:00,4.9,52.0,-3.861252692672939,-3.0167412290957247
2019-05-12 21:18:00,4.6,58.0,-3.901021242319559,-2.4376286154727427
2019-05-12 21:24:00,4.7,55.0,-3.8500146081582605,-2.6958092508499183
2019-05-12 21:30:00,4.2,52.0,-3.309645165148233,-2.585778196367764
2019-05-12 21:36:00,4.3,55.0,-3.5223537904426636,-2.4663786763094993
2019-05-12 21:42:00,4.8,56.0,-3.9793803482642005,-2.6841259366595835
2019-05-12 21:48:00,5.3,57.0,-4.444954010110748,-2.886586885579643
2019-05-12 21:54:00,5.2,40.0,-3.342495570370004,-3.9834311042186856
2019-05-12 22:00:00,5.5,50.0,-4.213244437154378,-3.535331853275967
2019-05-12 22:06:00,5.5,45.0,-3.889087296526011,-3.889087296526012
2019-05-12 22:12:00,5.5,46.0,-3.9563689018625814,-3.820621037524485
2019-05-12 22:18:00,5.8,48.0,-4.310239987768887,-3.880957516881377
2019-05-12 22:24:00,4.8,48.0,-3.567095162291493,-3.211826910522519
2019-05-12 22:30:00,5.4,55.0,-4.423421039160555,-3.0973127562956506
2019-05-12 22:36:00,5.2,55.0,-4.259590630302756,-2.9825974690254413
2019-05-12 22:42:00,5.8,53.0,-4.632085958274298,-3.49052713428188
